block_id,kernel,log_loss,matching,target_delay_s,task,top1_accuracy,trials,centre_s,separation_s
0,linear_erlang_v1,0.0,unit_l1,,two_cue_temporal_order,1.0,64,10.0,2.0
1,linear_erlang_v1,0.0,unit_l1,,two_cue_temporal_order,1.0,64,10.0,6.0
2,linear_erlang_v1,0.0,unit_l1,,two_cue_temporal_order,1.0,64,10.0,10.0
3,linear_erlang_v1,0.0,unit_l1,,two_cue_temporal_order,1.0,64,20.0,2.0
4,linear_erlang_v1,0.0,unit_l1,,two_cue_temporal_order,1.0,64,20.0,6.0
5,linear_erlang_v1,0.0,unit_l1,,two_cue_temporal_order,1.0,64,20.0,10.0
6,linear_erlang_v1,0.0,unit_l1,,two_cue_temporal_order,1.0,64,30.0,2.0
7,linear_erlang_v1,0.0,unit_l1,,two_cue_temporal_order,1.0,64,30.0,6.0
8,linear_erlang_v1,0.0,unit_l1,,two_cue_temporal_order,1.0,64,30.0,10.0
9,linear_erlang_v1,1.3506832378609787e-09,unit_l1,,two_cue_temporal_order,1.0,64,40.0,2.0
10,linear_erlang_v1,0.0,unit_l1,,two_cue_temporal_order,1.0,64,40.0,6.0
11,linear_erlang_v1,0.0,unit_l1,,two_cue_temporal_order,1.0,64,40.0,10.0
0,abstract_gamma_k3,1.1699052540842882,unit_l1,2.5,four_event_interval_attribution,0.65625,64,,
1,abstract_gamma_k3,1.0186910132158873,unit_l1,7.5,four_event_interval_attribution,0.890625,64,,
2,abstract_gamma_k3,1.28772249527568,unit_l1,12.5,four_event_interval_attribution,0.578125,64,,
3,abstract_gamma_k3,1.4481092947149836,unit_l1,17.5,four_event_interval_attribution,0.34375,64,,
4,abstract_gamma_k3,1.4762466575998654,unit_l1,22.5,four_event_interval_attribution,0.359375,64,,
5,abstract_gamma_k3,1.4898814234863131,unit_l1,27.5,four_event_interval_attribution,0.140625,64,,
6,abstract_gamma_k3,1.490815165774525,unit_l1,35.0,four_event_interval_attribution,0.046875,64,,
7,abstract_gamma_k3,1.4852947524589126,unit_l1,45.0,four_event_interval_attribution,0.0,64,,
0,abstract_gamma_k3,0.0,unit_l1,,two_cue_temporal_order,1.0,64,10.0,2.0
1,abstract_gamma_k3,0.0,unit_l1,,two_cue_temporal_order,1.0,64,10.0,6.0
2,abstract_gamma_k3,0.0,unit_l1,,two_cue_temporal_order,1.0,64,10.0,10.0
3,abstract_gamma_k3,0.0,unit_l1,,two_cue_temporal_order,1.0,64,20.0,2.0
4,abstract_gamma_k3,0.0,unit_l1,,two_cue_temporal_order,1.0,64,20.0,6.0
5,abstract_gamma_k3,0.0,unit_l1,,two_cue_temporal_order,1.0,64,20.0,10.0
6,abstract_gamma_k3,0.0,unit_l1,,two_cue_temporal_order,1.0,64,30.0,2.0
7,abstract_gamma_k3,0.0,unit_l1,,two_cue_temporal_order,1.0,64,30.0,6.0
8,abstract_gamma_k3,0.0,unit_l1,,two_cue_temporal_order,1.0,64,30.0,10.0
9,abstract_gamma_k3,1.2797377562589116e-09,unit_l1,,two_cue_temporal_order,1.0,64,40.0,2.0
10,abstract_gamma_k3,0.0,unit_l1,,two_cue_temporal_order,1.0,64,40.0,6.0
11,abstract_gamma_k3,0.0,unit_l1,,two_cue_temporal_order,1.0,64,40.0,10.0
