condition,seed,eta,aulc,final_reward
device,1007,0.01,0.4266666666666667,0.42
device,1008,0.01,0.6266666666666667,0.66
device,1009,0.01,0.4666666666666667,0.51
device,1010,0.01,0.39666666666666667,0.42
device,1011,0.01,0.5066666666666667,0.6
device,1012,0.01,0.3233333333333333,0.41
device,1013,0.01,0.5133333333333333,0.55
device,1014,0.01,0.38666666666666666,0.4
device,1015,0.01,0.5466666666666666,0.61
device,1016,0.01,0.15666666666666668,0.18
device,1017,0.01,0.3566666666666667,0.39
device,1018,0.01,0.4866666666666667,0.53
device,1019,0.01,0.6466666666666666,0.67
device,1000,0.03,0.3933333333333333,0.42
device,1001,0.03,0.38666666666666666,0.56
device,1002,0.03,0.44333333333333336,0.42
device,1003,0.03,0.39,0.38
device,1004,0.03,0.4033333333333333,0.39
device,1005,0.03,0.36,0.43
device,1006,0.03,0.47,0.51
device,1007,0.03,0.38,0.39
device,1008,0.03,0.52,0.54
device,1009,0.03,0.5533333333333333,0.59
device,1010,0.03,0.5233333333333333,0.56
device,1011,0.03,0.55,0.56
device,1012,0.03,0.5233333333333333,0.55
device,1013,0.03,0.44,0.46
device,1014,0.03,0.38,0.4
device,1015,0.03,0.4266666666666667,0.48
device,1016,0.03,0.5266666666666666,0.52
device,1017,0.03,0.4066666666666667,0.43
device,1018,0.03,0.5533333333333333,0.55
device,1019,0.03,0.5066666666666667,0.54
device,1000,0.1,0.22,0.33
device,1001,0.1,0.23666666666666666,0.32
device,1002,0.1,0.3,0.31
device,1003,0.1,0.33666666666666667,0.26
device,1004,0.1,0.4,0.46
device,1005,0.1,0.27,0.26
device,1006,0.1,0.18666666666666668,0.19
device,1007,0.1,0.26666666666666666,0.3
device,1008,0.1,0.88,1.0
device,1009,0.1,0.41,0.4
device,1010,0.1,0.3466666666666667,0.21
device,1011,0.1,0.58,0.83
device,1012,0.1,0.8,1.0
device,1013,0.1,0.32666666666666666,0.37
device,1014,0.1,0.4866666666666667,0.48
device,1015,0.1,0.32,0.36
device,1016,0.1,0.41,0.58
device,1017,0.1,0.3433333333333333,0.36
device,1018,0.1,0.7533333333333333,1.0
device,1019,0.1,0.37333333333333335,0.48
device,1000,0.3,0.14666666666666667,0.15
device,1001,0.3,0.20666666666666667,0.21
device,1002,0.3,0.25333333333333335,0.26
device,1003,0.3,0.11333333333333333,0.13
device,1004,0.3,0.19333333333333333,0.21
device,1005,0.3,0.15666666666666668,0.13
device,1006,0.3,0.25,0.32
device,1007,0.3,0.13333333333333333,0.08
device,1008,0.3,0.22333333333333333,0.34
device,1009,0.3,0.17333333333333334,0.15
device,1010,0.3,0.2,0.36
device,1011,0.3,0.21666666666666667,0.34
device,1012,0.3,0.11666666666666667,0.12
device,1013,0.3,0.2,0.29
device,1014,0.3,0.12666666666666668,0.16
device,1015,0.3,0.12333333333333334,0.11
device,1016,0.3,0.39666666666666667,0.67
device,1017,0.3,0.34,0.53
device,1018,0.3,0.12333333333333334,0.06
device,1019,0.3,0.17666666666666667,0.18
device,1000,1.0,0.07666666666666666,0.1
device,1001,1.0,0.06666666666666667,0.05
device,1002,1.0,0.07,0.07
device,1003,1.0,0.08333333333333333,0.1
device,1004,1.0,0.07666666666666666,0.1
device,1005,1.0,0.09,0.12
device,1006,1.0,0.06333333333333334,0.1
device,1007,1.0,0.07,0.07
device,1008,1.0,0.11333333333333333,0.18
device,1009,1.0,0.07,0.08
device,1010,1.0,0.10666666666666667,0.15
device,1011,1.0,0.32,0.51
device,1012,1.0,0.1,0.13
device,1013,1.0,0.07666666666666666,0.08
device,1014,1.0,0.08666666666666667,0.12
device,1015,1.0,0.07,0.06
device,1016,1.0,0.1,0.09
device,1017,1.0,0.11,0.19
device,1018,1.0,0.14333333333333334,0.24
device,1019,1.0,0.06333333333333334,0.07
device,1000,3.0,0.08666666666666667,0.1
device,1001,3.0,0.07333333333333333,0.08
device,1002,3.0,0.11666666666666667,0.1
device,1003,3.0,0.06333333333333334,0.08
device,1004,3.0,0.06666666666666667,0.08
device,1005,3.0,0.05333333333333334,0.1
device,1006,3.0,0.13,0.19
device,1007,3.0,0.31333333333333335,0.57
device,1008,3.0,0.056666666666666664,0.08
device,1009,3.0,0.05333333333333334,0.07
device,1010,3.0,0.07333333333333333,0.07
device,1011,3.0,0.12666666666666668,0.18
device,1012,3.0,0.08333333333333333,0.05
device,1013,3.0,0.06,0.07
device,1014,3.0,0.06666666666666667,0.09
device,1015,3.0,0.06,0.03
device,1016,3.0,0.07333333333333333,0.14
device,1017,3.0,0.056666666666666664,0.06
device,1018,3.0,0.05,0.08
device,1019,3.0,0.056666666666666664,0.07
device,1000,10.0,0.06,0.04
device,1001,10.0,0.11,0.1
device,1002,10.0,0.043333333333333335,0.05
device,1003,10.0,0.06,0.06
device,1004,10.0,0.07666666666666666,0.07
device,1005,10.0,0.056666666666666664,0.02
device,1006,10.0,0.08,0.05
device,1007,10.0,0.06,0.08
device,1008,10.0,0.05,0.07
device,1009,10.0,0.05,0.04
device,1010,10.0,0.07333333333333333,0.09
device,1011,10.0,0.12333333333333334,0.13
device,1012,10.0,0.07333333333333333,0.04
device,1013,10.0,0.043333333333333335,0.03
device,1014,10.0,0.05,0.05
device,1015,10.0,0.05333333333333334,0.05
device,1016,10.0,0.05333333333333334,0.05
device,1017,10.0,0.07,0.04
device,1018,10.0,0.06,0.05
device,1019,10.0,0.043333333333333335,0.03
device,1000,100.0,0.056666666666666664,0.03
device,1001,100.0,0.11,0.1
device,1002,100.0,0.043333333333333335,0.06
device,1003,100.0,0.056666666666666664,0.06
device,1004,100.0,0.056666666666666664,0.05
device,1005,100.0,0.07333333333333333,0.07
device,1006,100.0,0.08,0.05
device,1007,100.0,0.04,0.02
device,1008,100.0,0.05333333333333334,0.06
device,1009,100.0,0.06333333333333334,0.07
device,1010,100.0,0.07333333333333333,0.09
device,1011,100.0,0.12333333333333334,0.13
device,1012,100.0,0.08,0.06
device,1013,100.0,0.04666666666666667,0.06
device,1014,100.0,0.06333333333333334,0.08
device,1015,100.0,0.05333333333333334,0.06
