cascade_depth,drive_amplitude,duration_s,linear_finite_pulse_peak_s,linear_impulse_peak_s,linear_numerical_peak_s,linear_peak_relative_error,physical_numerical_peak_s,physical_peak_occupancy_fraction,physical_peak_relative_departure,physical_small_signal_peak_s,rho_alpha_tau_leak,tau_leak_s,tau_r_s,v_max,v_max_shape_invariance,voltage_v
2,1.0,0.05,0.9301896570653345,0.9049594558854315,0.92,0.010954386546805884,1.02,0.005136317888774488,0.020000000000000018,1.0,0.10502188081075825,1.0,19.0436505665315,1.0,True,0.7
2,1.0,0.05,0.9301896570653345,0.9049594558854315,0.92,0.010954386546805884,1.02,0.005136317888774488,0.020000000000000018,1.0,0.10502188081075825,1.0,19.0436505665315,2.0,True,0.7
2,1.0,0.3,1.0632319798331074,0.9049594558854315,1.05,0.012445054404010966,1.1500000000000001,0.02694227469589611,0.15000000000000013,1.0,0.10502188081075825,1.0,19.0436505665315,0.5,True,0.7
2,1.0,0.3,1.0632319798331074,0.9049594558854315,1.05,0.012445054404010966,1.1500000000000001,0.02694227469589611,0.15000000000000013,1.0,0.10502188081075825,1.0,19.0436505665315,1.0,True,0.7
2,1.0,0.3,1.0632319798331074,0.9049594558854315,1.05,0.012445054404010966,1.1500000000000001,0.02694227469589611,0.15000000000000013,1.0,0.10502188081075825,1.0,19.0436505665315,2.0,True,0.7
3,1.0,0.05,1.752933353126411,1.727812778473739,1.74,0.007378120282407798,2.0100000000000002,0.007696390216056594,0.0050000000000001155,2.0,0.15753282121613738,1.0,19.0436505665315,0.5,True,0.7
3,1.0,0.05,1.752933353126411,1.727812778473739,1.74,0.007378120282407798,2.0100000000000002,0.007696390216056594,0.0050000000000001155,2.0,0.15753282121613738,1.0,19.0436505665315,1.0,True,0.7
3,1.0,0.05,1.752933353126411,1.727812778473739,1.74,0.007378120282407798,2.0100000000000002,0.007696390216056594,0.0050000000000001155,2.0,0.15753282121613738,1.0,19.0436505665315,2.0,True,0.7
3,1.0,0.3,1.8821513470834443,1.727812778473739,1.87,0.006456094565547977,2.14,0.04012149886567749,0.07000000000000006,2.0,0.15753282121613738,1.0,19.0436505665315,0.5,True,0.7
3,1.0,0.3,1.8821513470834443,1.727812778473739,1.87,0.006456094565547977,2.14,0.04012149886567749,0.07000000000000006,2.0,0.15753282121613738,1.0,19.0436505665315,1.0,True,0.7
3,1.0,0.3,1.8821513470834443,1.727812778473739,1.87,0.006456094565547977,2.14,0.04012149886567749,0.07000000000000006,2.0,0.15753282121613738,1.0,19.0436505665315,2.0,True,0.7
4,1.0,0.05,2.5043332071363085,2.479249176889154,2.49,0.005723362648175002,3.0100000000000002,0.01025108284856472,0.0033333333333334103,3.0,0.2100437616215165,1.0,19.0436505665315,0.5,True,0.7
4,1.0,0.05,2.5043332071363085,2.479249176889154,2.49,0.005723362648175002,3.0100000000000002,0.01025108284856472,0.0033333333333334103,3.0,0.2100437616215165,1.0,19.0436505665315,1.0,True,0.7
4,1.0,0.05,2.5043332071363085,2.479249176889154,2.49,0.005723362648175002,3.0100000000000002,0.01025108284856472,0.0033333333333334103,3.0,0.2100437616215165,1.0,19.0436505665315,2.0,True,0.7
4,1.0,0.3,2.632273548319971,2.479249176889154,2.62,0.004662717644905956,3.14,0.05310983746637986,0.04666666666666671,3.0,0.2100437616215165,1.0,19.0436505665315,0.5,True,0.7
4,1.0,0.3,2.632273548319971,2.479249176889154,2.62,0.004662717644905956,3.14,0.05310983746637986,0.04666666666666671,3.0,0.2100437616215165,1.0,19.0436505665315,1.0,True,0.7
4,1.0,0.3,2.632273548319971,2.479249176889154,2.62,0.004662717644905956,3.14,0.05310983746637986,0.04666666666666671,3.0,0.2100437616215165,1.0,19.0436505665315,2.0,True,0.7
2,1.0,0.05,1.6779588288954979,1.652832784592769,1.67,0.00474316101112967,2.0100000000000002,0.005187936777280487,0.0050000000000001155,2.0,0.2100437616215165,2.0,19.0436505665315,0.5,True,0.7
2,1.0,0.05,1.6779588288954979,1.652832784592769,1.67,0.00474316101112967,2.0100000000000002,0.005187936777280487,0.0050000000000001155,2.0,0.2100437616215165,2.0,19.0436505665315,1.0,True,0.7
2,1.0,0.05,1.6779588288954979,1.652832784592769,1.67,0.00474316101112967,2.0100000000000002,0.005187936777280487,0.0050000000000001155,2.0,0.2100437616215165,2.0,19.0436505665315,2.0,True,0.7
2,1.0,0.3,1.807367959123619,1.652832784592769,1.8,0.004076623736979131,2.14,0.02889245262413574,0.07000000000000006,2.0,0.2100437616215165,2.0,19.0436505665315,0.5,True,0.7
2,1.0,0.3,1.807367959123619,1.652832784592769,1.8,0.004076623736979131,2.14,0.02889245262413574,0.07000000000000006,2.0,0.2100437616215165,2.0,19.0436505665315,1.0,True,0.7
2,1.0,0.3,1.807367959123619,1.652832784592769,1.8,0.004076623736979131,2.14,0.02889245262413574,0.07000000000000006,2.0,0.2100437616215165,2.0,19.0436505665315,2.0,True,0.7
3,1.0,0.05,3.066741752898352,3.0416732602045746,3.06,0.0021983438585855557,4.01,0.0077737369164053455,0.0024999999999999467,4.0,0.31506564243227475,2.0,19.0436505665315,0.5,True,0.7
